                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1066,                0.74719,                 1.1675,                0.87948,                0.92593,                0.95719,                0.71011,                 1.0478,                 0.5876,                 1.0671,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0722,                0.69831,                 1.1824,                0.92745,                0.96296,                0.96102,                0.66996,                 1.1971,                0.60363,                 1.1548,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1019,                0.74208,                 1.1815,                0.92026,                0.96296,                0.97456,                 0.7043,                 1.0213,                0.56114,                 1.0872,               0.001109,               0.001109,               0.001109
                     48,                 1.0844,                 0.7209,                 1.1697,                0.86285,                      1,                0.96835,                0.64697,                 1.2133,                0.61729,                 1.1612,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0632,                0.70216,                 1.1705,                0.96253,                0.96296,                0.98182,                 0.7136,                 1.0768,                0.52206,                 1.1728,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0668,                0.67845,                  1.148,                0.92831,                      1,                0.98171,                0.72699,                  1.024,                0.51916,                 1.0672,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0696,                0.71057,                 1.1633,                0.89548,                0.95227,                0.97525,                0.69585,                 1.0789,                0.58665,                 1.1203,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0725,                0.70605,                 1.1786,                0.83866,                 0.9626,                0.92526,                0.66509,                 1.0719,                0.60077,                 1.0922,                0.00101,                0.00101,                0.00101
                     53,                 1.0195,                0.68426,                 1.1373,                0.93867,                0.88889,                0.98321,                  0.696,                 1.0798,                0.58404,                 1.0815,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0594,                0.69639,                 1.1474,                0.87015,                      1,                0.96276,                0.68993,                 1.0783,                0.56761,                  1.089,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0102,                0.68775,                  1.134,                0.89555,                      1,                0.97337,                 0.6743,                 1.1049,                0.53267,                 1.1061,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0216,                0.67492,                 1.1353,                0.95521,                0.92593,                0.98646,                0.71683,                 1.0539,                0.52249,                 1.0728,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0513,                0.67977,                 1.1487,                0.96003,                0.96296,                0.98624,                  0.669,                 1.0962,                0.50231,                 1.1948,               0.000911,               0.000911,               0.000911
                     58,                 1.0179,                0.63393,                  1.141,                0.95268,                0.92593,                0.96026,                0.67396,                 1.0716,                0.66063,                 1.1503,              0.0008912,              0.0008912,              0.0008912
                     59,                0.99728,                0.65349,                  1.111,                0.91533,                0.88889,                0.95039,                0.66415,                 1.0826,                0.65132,                 1.0643,              0.0008714,              0.0008714,              0.0008714
                     60,                0.99764,                0.63344,                 1.1101,                0.89614,                      1,                  0.977,                0.71803,                 1.0042,                 0.5634,                 1.0565,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.9899,                0.64043,                 1.1399,                0.87042,                0.99527,                0.94622,                 0.6778,                 1.0473,                0.56141,                 1.0674,              0.0008318,              0.0008318,              0.0008318
                     62,                0.98329,                0.62522,                  1.097,                0.89905,                0.98976,                 0.9457,                0.66887,                 1.0651,                0.54669,                 1.1146,               0.000812,               0.000812,               0.000812
                     63,                0.96005,                0.61178,                 1.0917,                0.89988,                0.99874,                 0.9604,                0.68035,                 1.0484,                 0.5299,                 1.1075,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.9881,                0.62278,                 1.1401,                 0.9756,                0.96296,                  0.992,                0.69078,                  1.159,                0.55265,                 1.1955,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.9431,                0.59173,                 1.0988,                0.93863,                0.96296,                0.98518,                0.73892,                 1.0391,                0.53359,                 1.0719,              0.0007526,              0.0007526,              0.0007526
                     66,                0.94491,                0.60632,                 1.1135,                0.96283,                0.95944,                0.98997,                0.71944,                 1.0647,                0.51414,                 1.1178,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0029,                0.60706,                 1.1231,                0.91421,                      1,                0.98621,                0.72188,                0.98873,                0.49912,                 1.0693,               0.000713,               0.000713,               0.000713
                     68,                0.94865,                0.60815,                 1.0986,                0.89519,                      1,                0.98644,                0.69063,                 1.0413,                0.52961,                 1.0905,              0.0006932,              0.0006932,              0.0006932
                     69,                0.94295,                0.61425,                  1.112,                0.86746,                      1,                0.96365,                0.69649,                 1.0145,                0.57176,                 1.0599,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.915,                0.57285,                 1.0768,                0.91399,                0.96296,                0.95295,                0.68219,                 1.0855,                0.56382,                 1.1119,              0.0006536,              0.0006536,              0.0006536
                     71,                0.91183,                0.58002,                 1.0777,                 0.8706,                0.99681,                0.97304,                0.68256,                  1.099,                  0.594,                 1.1441,              0.0006338,              0.0006338,              0.0006338
                     72,                0.91133,                0.56618,                 1.0804,                0.92032,                0.96296,                0.97869,                 0.7037,                  1.066,                0.53053,                 1.0941,               0.000614,               0.000614,               0.000614
                     73,                0.89664,                0.55776,                 1.0673,                0.88509,                0.96296,                0.96822,                0.67854,                 1.1001,                0.61156,                 1.0943,              0.0005942,              0.0005942,              0.0005942
                     74,                0.88331,                0.55587,                 1.0657,                 0.9222,                0.96296,                0.98673,                0.69949,                 1.0343,                0.50355,                 1.0783,              0.0005744,              0.0005744,              0.0005744
                     75,                0.91866,                0.56023,                 1.0962,                0.86893,                      1,                0.97771,                0.70255,                 1.0993,                0.55987,                 1.1529,              0.0005546,              0.0005546,              0.0005546
                     76,                0.90947,                0.54193,                  1.078,                 0.8115,                0.96296,                0.93334,                0.69016,                 1.0625,                0.61961,                 1.1031,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87758,                 0.5559,                 1.0862,                0.93661,                      1,                0.97679,                0.67696,                 1.1262,                0.53516,                 1.1379,               0.000515,               0.000515,               0.000515
                     78,                0.88957,                 0.5436,                 1.0671,                0.89927,                      1,                0.98171,                0.67148,                 1.1466,                0.55725,                 1.1454,              0.0004952,              0.0004952,              0.0004952
                     79,                0.87472,                0.53862,                 1.0697,                0.92931,                      1,                0.98301,                0.68366,                 1.0946,                0.55839,                 1.0921,              0.0004754,              0.0004754,              0.0004754
                     80,                0.91876,                0.54688,                 1.0994,                0.86173,                0.96296,                0.93437,                0.64877,                 1.1903,                0.56817,                 1.1633,              0.0004556,              0.0004556,              0.0004556
                     81,                0.85375,                0.51164,                 1.0571,                0.86878,                      1,                0.97745,                0.67263,                 1.1129,                0.54517,                 1.0954,              0.0004358,              0.0004358,              0.0004358
                     82,                0.82163,                0.53487,                  1.048,                0.94385,                0.96296,                0.99052,                0.71497,                 1.0885,                 0.4978,                  1.079,               0.000416,               0.000416,               0.000416
                     83,                0.83927,                0.52662,                 1.0573,                0.92941,                      1,                0.98714,                0.69613,                 1.0987,                0.50383,                 1.1332,              0.0003962,              0.0003962,              0.0003962
                     84,                0.84973,                0.52508,                 1.0591,                0.86846,                      1,                0.97884,                0.65661,                 1.2197,                0.53437,                 1.2185,              0.0003764,              0.0003764,              0.0003764
                     85,                  0.816,                0.49392,                 1.0337,                0.86832,                      1,                0.98165,                0.70042,                 1.0859,                0.55252,                 1.0677,              0.0003566,              0.0003566,              0.0003566
                     86,                0.81801,                0.50379,                  1.033,                0.89649,                      1,                0.98491,                0.68496,                 1.1337,                0.53405,                 1.1401,              0.0003368,              0.0003368,              0.0003368
                     87,                0.80466,                0.52053,                 1.0382,                0.93062,                0.99371,                0.98621,                0.68177,                 1.1393,                0.53426,                  1.136,               0.000317,               0.000317,               0.000317
                     88,                0.79578,                0.50956,                 1.0489,                0.91183,                      1,                0.98301,                0.71138,                 1.1121,                0.52161,                 1.1142,              0.0002972,              0.0002972,              0.0002972
                     89,                0.82868,                0.50089,                 1.0342,                0.89932,                0.99272,                0.98189,                0.71753,                 1.0495,                0.54272,                 1.0816,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.7968,                0.48711,                 1.0364,                0.92427,                      1,                0.98461,                0.70305,                 1.1509,                 0.5399,                 1.1634,              0.0002576,              0.0002576,              0.0002576
                     91,                0.76118,                0.43917,                 1.0018,                0.86919,                      1,                 0.9763,                0.68068,                 1.1222,                0.54563,                 1.1174,              0.0002378,              0.0002378,              0.0002378
                     92,                0.73585,                0.42372,                0.97601,                0.86584,                      1,                0.98005,                0.70344,                 1.0903,                0.53455,                 1.1045,               0.000218,               0.000218,               0.000218
                     93,                0.70412,                0.45555,                0.97805,                0.83986,                      1,                0.97085,                0.68102,                 1.1609,                0.57865,                 1.1584,              0.0001982,              0.0001982,              0.0001982
                     94,                0.71853,                0.41017,                0.96753,                0.89555,                0.95295,                0.97924,                 0.7128,                 1.0997,                0.53085,                 1.1092,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.7067,                0.41014,                0.95681,                0.81699,                0.99226,                0.96733,                0.69202,                 1.1123,                0.55234,                 1.1259,              0.0001586,              0.0001586,              0.0001586
                     96,                0.68147,                 0.3846,                0.96143,                0.81582,                      1,                0.96637,                0.67999,                 1.1081,                0.53821,                 1.1262,              0.0001388,              0.0001388,              0.0001388
                     97,                0.67702,                0.39257,                0.95938,                0.86367,                0.96296,                0.95226,                 0.6755,                 1.1107,                0.58502,                 1.1375,               0.000119,               0.000119,               0.000119
                     98,                0.67522,                0.40096,                0.95437,                0.90978,                0.88889,                0.96271,                0.67735,                 1.1176,                0.56177,                 1.1337,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.65455,                0.37811,                  0.932,                 0.8658,                  0.956,                0.96503,                0.67734,                 1.1187,                0.55281,                 1.1402,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.67173,                0.38528,                0.94739,                0.86666,                      1,                0.96432,                0.67897,                 1.1218,                0.53941,                 1.1479,               5.96e-05,               5.96e-05,               5.96e-05
