                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.97632,                0.65188,                 1.2294,                0.86151,                0.92174,                0.92835,                0.66498,                 1.0343,                0.71976,                  1.277,              0.0005348,              0.0005348,              0.0005348
                     77,                0.96246,                0.66972,                  1.239,                0.83854,                      1,                0.95515,                0.66743,                 1.0528,                0.59085,                 1.2761,               0.000515,               0.000515,               0.000515
                     78,                0.96235,                0.63142,                 1.2154,                0.86876,                      1,                0.97464,                0.68422,                 1.0231,                0.58958,                 1.2404,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.9317,                0.62854,                  1.204,                0.89565,                0.96296,                0.96607,                0.71382,                0.99085,                0.56185,                 1.2342,              0.0004754,              0.0004754,              0.0004754
                     80,                0.92893,                0.63995,                 1.1978,                0.83749,                0.95454,                0.93925,                0.68137,                 1.0312,                0.60547,                 1.3304,              0.0004556,              0.0004556,              0.0004556
                     81,                0.94321,                0.66795,                 1.2309,                0.89574,                0.95478,                0.96505,                 0.6527,                 1.0689,                0.63193,                 1.3801,              0.0004358,              0.0004358,              0.0004358
                     82,                0.92434,                0.62076,                 1.1934,                0.89621,                0.95958,                 0.9618,                0.70721,                 1.0009,                0.59912,                 1.2733,               0.000416,               0.000416,               0.000416
                     83,                0.91746,                0.63321,                  1.195,                0.89506,                  0.948,                 0.9557,                0.70004,                 1.0087,                 0.5763,                  1.262,              0.0003962,              0.0003962,              0.0003962
                     84,                0.90211,                0.62224,                 1.2011,                0.89179,                0.91597,                0.95462,                0.69975,                 1.0365,                0.63575,                 1.2889,              0.0003764,              0.0003764,              0.0003764
                     85,                0.89128,                0.60334,                 1.1684,                0.84553,                0.96296,                0.96853,                0.71911,                 1.0138,                0.54869,                 1.2704,              0.0003566,              0.0003566,              0.0003566
                     86,                0.86811,                0.60759,                 1.1697,                0.86804,                0.97482,                0.96517,                0.67577,                  1.082,                0.56327,                 1.3282,              0.0003368,              0.0003368,              0.0003368
                     87,                0.87327,                0.58832,                 1.1693,                0.87428,                      1,                0.96482,                0.67447,                 1.0985,                0.58892,                 1.3386,               0.000317,               0.000317,               0.000317
                     88,                0.86983,                0.59702,                 1.1717,                0.87967,                0.88889,                0.94649,                0.67528,                 1.0605,                0.60861,                 1.3079,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.8787,                0.60609,                 1.1872,                0.81615,                0.98677,                 0.9537,                0.69684,                 1.0531,                0.57512,                 1.2816,              0.0002774,              0.0002774,              0.0002774
                     90,                0.87918,                0.59737,                 1.1685,                0.89217,                0.96296,                0.97268,                0.70806,                 1.0515,                0.52062,                 1.2898,              0.0002576,              0.0002576,              0.0002576
                     91,                0.83535,                 0.5887,                 1.1444,                 0.8676,                      1,                0.98403,                0.70302,                 1.0838,                  0.538,                 1.3277,              0.0002378,              0.0002378,              0.0002378
                     92,                0.80348,                 0.5389,                 1.1302,                0.89574,                0.95481,                0.97247,                0.70657,                 1.1044,                0.54404,                 1.3237,               0.000218,               0.000218,               0.000218
                     93,                0.79502,                0.50789,                 1.1214,                0.89963,                0.99602,                 0.9724,                0.70448,                  1.047,                0.51312,                 1.2769,              0.0001982,              0.0001982,              0.0001982
                     94,                0.75898,                0.50107,                 1.0995,                0.84101,                      1,                0.96471,                0.67543,                  1.148,                 0.5614,                 1.3477,              0.0001784,              0.0001784,              0.0001784
                     95,                0.75357,                0.50269,                 1.0868,                0.91401,                0.92593,                0.96707,                0.70449,                 1.0756,                0.54612,                 1.3276,              0.0001586,              0.0001586,              0.0001586
                     96,                0.73255,                 0.4645,                 1.0736,                0.86515,                0.95076,                0.96088,                  0.717,                 1.0118,                0.54339,                 1.2584,              0.0001388,              0.0001388,              0.0001388
                     97,                0.72123,                0.46867,                 1.0728,                0.86666,                      1,                 0.9652,                0.72142,                 1.0207,                0.52168,                 1.2606,               0.000119,               0.000119,               0.000119
                     98,                0.71603,                0.47942,                 1.0844,                0.86414,                      1,                0.96107,                0.71239,                 1.0438,                0.53087,                 1.2909,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.72695,                 0.4717,                 1.0768,                  0.867,                      1,                0.96329,                0.72479,                 1.0127,                0.51702,                 1.2672,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.70099,                 0.4593,                 1.0714,                0.88372,                      1,                0.96482,                0.71407,                 1.0183,                0.50213,                 1.2837,               5.96e-05,               5.96e-05,               5.96e-05
