                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0776,                0.75303,                   1.23,                0.91427,                0.88889,                0.93384,                0.68976,                 1.0324,                0.64508,                 1.1402,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.044,                0.71771,                 1.2328,                0.88946,                0.89421,                0.97218,                0.68751,                 1.1155,                 0.5792,                 1.2092,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0332,                0.71275,                 1.2061,                 0.9596,                0.88003,                0.97529,                0.71228,                 1.0769,                0.55132,                 1.1933,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0447,                0.73296,                 1.2043,                0.84216,                0.96296,                0.97428,                0.72535,                 0.9531,                0.51671,                 1.1252,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0425,                0.71721,                 1.2087,                0.91516,                0.85185,                0.95965,                0.70118,                 1.0772,                0.58755,                  1.209,               0.000911,               0.000911,               0.000911
                     58,                 1.0312,                0.70322,                  1.214,                0.92546,                0.91983,                0.96445,                0.65333,                 1.2566,                0.59712,                 1.3148,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0219,                0.71046,                 1.1968,                0.85261,                0.92593,                0.95597,                0.70212,                 1.0787,                0.60843,                  1.256,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0137,                0.70183,                 1.1964,                0.95984,                0.88522,                0.96584,                0.69991,                 1.1471,                0.57135,                 1.2183,              0.0008516,              0.0008516,              0.0008516
                     61,                0.99482,                0.68632,                 1.1836,                0.90192,                0.88889,                0.96556,                0.66622,                 1.1628,                0.62188,                 1.1996,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0199,                0.71001,                 1.1911,                 0.9349,                0.85185,                0.96124,                0.71531,                 1.0782,                0.61909,                 1.1776,               0.000812,               0.000812,               0.000812
                     63,                0.99499,                  0.678,                 1.1723,                0.92412,                0.85185,                0.96296,                0.73403,                  1.003,                0.55774,                  1.115,              0.0007922,              0.0007922,              0.0007922
                     64,                0.99649,                0.68446,                 1.1717,                0.92708,                0.94208,                  0.984,                0.71986,                 1.0424,                0.55179,                 1.1365,              0.0007724,              0.0007724,              0.0007724
                     65,                0.99275,                0.69251,                 1.1914,                0.83503,                0.96296,                0.96141,                0.71195,                 1.0302,                0.55259,                 1.1848,              0.0007526,              0.0007526,              0.0007526
                     66,                0.94008,                0.65265,                 1.1671,                0.89199,                0.91783,                0.95717,                0.71021,                 1.0304,                0.60938,                 1.1437,              0.0007328,              0.0007328,              0.0007328
                     67,                0.95302,                0.67055,                 1.1653,                 0.9215,                0.85185,                0.97163,                 0.7027,                 1.0491,                0.55431,                  1.214,               0.000713,               0.000713,               0.000713
                     68,                0.95916,                0.64033,                 1.1782,                0.89955,                0.96296,                0.97638,                0.73257,                 1.0073,                0.51197,                 1.1957,              0.0006932,              0.0006932,              0.0006932
                     69,                0.95073,                0.64824,                 1.1776,                0.88774,                0.92593,                0.95642,                 0.6844,                 1.1261,                0.56713,                 1.2096,              0.0006734,              0.0006734,              0.0006734
                     70,                0.96613,                 0.6592,                 1.1749,                0.92342,                0.92593,                0.97968,                0.73953,                 1.0125,                0.51483,                 1.1557,              0.0006536,              0.0006536,              0.0006536
                     71,                0.96379,                0.63525,                 1.1724,                0.84114,                      1,                0.97591,                0.69565,                 1.1239,                0.54087,                 1.3389,              0.0006338,              0.0006338,              0.0006338
